P_d,dbic,dbic_berv
5.0000,-2.571,-4.118
5.0075,-4.300,-5.001
5.0151,-4.949,-5.636
5.0227,-3.672,-5.263
5.0302,-1.837,-4.315
5.0378,-0.216,-3.441
5.0454,1.199,-2.845
5.0531,1.901,-2.694
5.0607,1.408,-3.070
5.0683,0.285,-3.752
5.0760,-0.493,-4.278
5.0836,-0.698,-4.269
5.0913,-0.947,-3.820
5.0990,-1.653,-3.286
5.1067,-2.566,-2.813
5.1144,-3.297,-2.415
5.1221,-3.660,-2.237
5.1298,-3.416,-2.345
5.1376,-2.156,-2.343
5.1453,-0.121,-1.669
5.1531,1.090,-0.738
5.1608,0.588,-0.586
5.1686,-0.792,-1.226
5.1764,-2.283,-2.089
5.1842,-3.629,-2.660
5.1921,-4.676,-2.870
5.1999,-5.265,-3.039
5.2077,-5.278,-3.224
5.2156,-4.641,-3.127
5.2235,-3.368,-2.512
5.2314,-1.561,-1.619
5.2393,0.365,-1.246
5.2472,0.782,-2.458
5.2551,-1.378,-4.484
5.2630,-3.740,-5.359
5.2709,-4.999,-5.337
5.2789,-5.453,-5.126
5.2869,-5.470,-4.909
5.2948,-5.314,-4.624
5.3028,-5.091,-4.469
5.3108,-4.803,-4.665
5.3188,-4.601,-5.175
5.3269,-4.838,-5.361
5.3349,-5.325,-4.767
5.3430,-5.607,-4.165
5.3510,-5.660,-3.936
5.3591,-5.588,-3.861
5.3672,-5.503,-3.808
5.3753,-5.481,-3.987
5.3834,-5.548,-4.526
5.3915,-5.654,-5.158
5.3996,-5.579,-5.381
5.4078,-5.104,-5.062
5.4160,-4.435,-4.679
5.4241,-3.831,-4.457
5.4323,-3.192,-4.262
5.4405,-2.625,-4.219
5.4487,-2.845,-4.645
5.4569,-3.895,-5.256
5.4652,-4.886,-5.606
5.4734,-5.020,-5.634
5.4817,-3.879,-5.451
5.4900,-2.559,-5.271
5.4982,-2.321,-5.176
5.5065,-2.416,-5.055
5.5148,-1.948,-4.932
5.5232,-1.097,-4.926
5.5315,-0.717,-5.074
5.5398,-1.453,-5.205
5.5482,-2.857,-5.021
5.5566,-3.498,-4.631
5.5650,-3.251,-4.340
5.5734,-3.020,-4.243
5.5818,-3.344,-4.331
5.5902,-3.962,-4.435
5.5986,-4.218,-4.319
5.6071,-3.939,-3.899
5.6155,-3.288,-3.170
5.6240,-2.389,-2.087
5.6325,-1.386,-0.619
5.6410,-0.630,1.029
5.6495,-0.641,2.207
5.6580,-1.682,2.173
5.6666,-3.338,0.982
5.6751,-4.840,-0.598
5.6837,-5.580,-1.942
5.6923,-5.185,-2.723
5.7008,-3.514,-2.589
5.7094,-0.872,-1.138
5.7181,1.798,1.553
5.7267,3.322,4.496
5.7353,3.225,6.310
5.7440,1.925,6.191
5.7526,-0.003,4.350
5.7613,-2.204,1.574
5.7700,-4.260,-1.370
5.7787,-5.456,-3.799
5.7874,-5.180,-5.089
5.7962,-3.720,-5.039
5.8049,-2.051,-4.074
5.8137,-0.651,-2.764
5.8225,0.978,-1.473
