bjd,rv_med,rv_mean,spread,pub,epub
2460230.865,-1565.279,-1417.050,1014.826,-63.200,70.800
2460280.810,-1911.870,-1656.222,961.144,-391.800,42.100
2460285.803,-1862.554,-1635.053,1053.758,-310.400,58.100
2460300.788,-1515.586,-1221.869,942.979,66.300,60.300
2460312.558,-1373.503,-1209.569,938.400,-27.100,69.100
2460318.768,-1206.249,-1098.878,841.197,123.300,50.900
2460320.677,-1310.996,-1207.799,863.652,88.200,61.800
2460328.547,-1249.441,-1085.475,813.145,59.500,44.200
2460339.653,-1106.277,-886.419,857.360,143.800,53.500
2460370.533,-1135.657,-1060.569,983.929,110.400,68.000
2460388.623,-1300.249,-1163.672,811.359,58.600,60.800
2460600.755,-1830.970,-1671.210,912.171,-437.000,47.800
2460604.818,-763.615,-3451.785,17494.331,nan,nan
2460624.830,-1912.466,-1653.609,906.259,-409.100,47.600
2460647.832,-1515.408,-1252.366,916.802,-19.900,46.300
2460666.794,-1105.041,-973.972,889.491,154.500,66.500
2460674.739,-1260.028,-1036.261,721.677,169.500,49.300
2460696.642,-1037.803,-946.250,1031.843,63.200,79.100
