P_d,dbic,dbic_berv
5.0000,-4.627,-4.915
5.0075,-4.306,-4.677
5.0151,-4.460,-4.945
5.0227,-5.201,-5.437
5.0302,-5.096,-5.019
5.0378,-4.620,-4.021
5.0454,-4.567,-3.875
5.0531,-5.189,-5.349
5.0607,-4.998,-5.268
5.0683,-4.722,-4.051
5.0760,-4.776,-2.966
5.0836,-4.725,-2.229
5.0913,-4.735,-3.341
5.0990,-5.088,-4.979
5.1067,-4.757,-4.533
5.1144,-4.081,-3.496
5.1221,-3.985,-3.708
5.1298,-3.562,-3.768
5.1376,-2.477,-2.979
5.1453,-1.706,-2.604
5.1531,-3.786,-4.561
5.1608,-5.095,-5.527
5.1686,-5.351,-5.614
5.1764,-5.347,-5.566
5.1842,-5.497,-5.630
5.1921,-5.661,-5.414
5.1999,-5.481,-4.741
5.2077,-4.717,-3.608
5.2156,-3.553,-2.611
5.2235,-3.273,-2.651
5.2314,-4.368,-3.992
5.2393,-5.253,-4.874
5.2472,-4.320,-3.930
5.2551,-3.341,-3.036
5.2630,-1.985,-1.532
5.2709,-1.985,-1.869
5.2789,-3.637,-3.871
5.2869,-4.309,-4.713
5.2948,-4.469,-4.894
5.3028,-4.611,-4.929
5.3108,-4.869,-5.318
5.3188,-4.629,-5.213
5.3269,-3.640,-3.932
5.3349,-2.910,-2.423
5.3430,-2.712,-1.835
5.3510,-3.014,-2.377
5.3591,-3.896,-3.897
5.3672,-4.584,-4.892
5.3753,-4.485,-4.666
5.3834,-4.299,-4.436
5.3915,-4.163,-4.398
5.3996,-3.654,-3.949
5.4078,-2.533,-2.713
5.4160,-0.893,-1.071
5.4241,-0.127,-0.631
5.4323,-1.639,-2.428
5.4405,-2.703,-3.456
5.4487,-2.952,-3.332
5.4569,-2.762,-2.763
5.4652,-3.134,-3.145
5.4734,-4.065,-4.142
5.4817,-4.917,-4.871
5.4900,-5.567,-5.356
5.4982,-5.440,-4.975
5.5065,-5.193,-4.636
5.5148,-5.195,-4.814
5.5232,-5.430,-5.202
5.5315,-5.301,-5.459
5.5398,-4.476,-4.875
5.5482,-3.400,-3.867
5.5566,-1.839,-2.256
5.5650,-0.529,-0.875
5.5734,-0.702,-1.100
5.5818,-1.165,-1.795
5.5902,-1.136,-1.919
5.5986,-0.163,-0.807
5.6071,1.731,1.598
5.6155,1.868,2.562
5.6240,-0.211,1.062
