bjd,rv_med,rv_mean,spread,kept
2460077.900,176.214,236.172,491.832,1
2460182.667,295.631,302.581,508.962,1
2460480.680,356.715,274.905,531.062,1
2460546.661,144.821,190.761,420.467,1
2460574.605,124.378,84.461,494.795,1
2460584.578,20.401,69.817,393.637,1
2460596.534,-7.649,-36.657,336.105,1
2460609.527,185.718,194.551,542.053,1
2460768.865,65.834,99.810,358.128,1
2460798.899,283.936,250.036,499.299,1
2460799.867,364.648,257.809,534.757,1
2460823.863,217.538,247.617,425.717,1
2460825.906,-14.606,-345.227,1212.458,1
2460858.795,-23.524,-356.434,1488.328,0
2460862.802,186.128,43.002,492.195,1
2460872.724,270.045,273.174,422.296,1
2460877.604,118.087,172.857,435.526,1
2460892.695,347.746,310.069,538.911,1
