# CD-35 2722 B radial velocities, Hoy et al. 2026, arXiv:2607.05193v1, Table 2
# ('A Full RV dataset' appendix). Extracted from the arXiv PDF text with pypdf.
# Verification that the extraction is complete and correct: 20 rows, and the mean
# of the error column is 31.45 m/s against the 31.44 m/s the paper states in its
# Methods for its favoured (per-nodding, binned) extraction.
# RVs are RELATIVE, in m/s. BJD as published.
bjd,rv_ms,erv_ms
2460230.8655,42.5,27.5
2460279.9442,-263.2,24.0
2460284.9378,-233.7,37.9
2460299.9224,65.9,36.7
2460311.6920,83.8,35.2
2460317.9016,175.5,24.4
2460319.8100,146.8,35.8
2460327.6805,160.1,29.7
2460338.7864,130.7,41.5
2460369.6677,164.0,32.2
2460387.7580,94.9,31.9
2460599.8891,-316.5,27.9
2460623.9639,-277.7,29.7
2460646.9657,76.4,23.8
2460659.9203,246.8,25.1
2460665.9276,210.0,39.0
2460673.8730,270.7,23.2
2460682.7670,126.9,18.4
2460687.7443,249.0,31.1
2460695.7760,201.7,53.9
