BJD RV e_RV BERV rv4 e_rv4 rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv17 e_rv17 rv18 e_rv18 rv19 e_rv19 filename
2460312.5582083766 -1229.4796959284597 310.045577133799 -1.9678781660269198 -2501.8717205758326 330.3620524238844 -1965.7738079952976 373.2454247606065 1370.836154996477 211.18613030594392 -512.8638638796938 255.9001312274237 -1583.882680918222 196.40796744817033 -1314.787274095759 239.2817281547355 -1791.4914484827232 294.69073039244375 -670.7908766664477 384.2956338151639 -1339.7190493731607 207.55417770807202 -1806.7202220949 155.1329184798112 -1407.2118661274972 163.65086844953757 night10A_o8.fits
2460312.5582083766 -1189.657546458819 298.7830254508219 -1.9678781660269198 -2306.5422799223593 302.1190770710148 -1503.4101010233828 335.49319165353086 1323.2196619194988 202.8947797884141 -1224.6157830956222 216.52704630874464 -1223.5584734816355 180.4708154595686 -1409.0204124974437 203.32121399040284 -1525.3082992175955 302.6187509202802 -1120.454472360299 331.161260583981 -1270.5689893548217 195.5218101798476 -1394.0464902214499 inf -1636.3163155545271 146.17279643582526 night10B_o8.fits
2460318.7677982375 -1176.402941223583 244.1100590190105 -4.070270433180432 -2152.847635245554 247.2146863750928 -1733.6320978510103 277.34172373312873 802.8184633758457 147.73402828484896 -1458.6871658485954 166.016276986249 -1797.180922178241 153.50082337206666 -1437.686877360857 168.54300621578486 -1203.5710122568482 278.4479095778258 -285.9761749870708 290.1279691247156 -1062.2332429114053 186.3475813599598 -1295.5433678456614 144.7229334983381 -1315.8923203500135 153.32148327851286 night11A_o8.fits
2460318.7677982375 -1021.3532618817037 287.9096071345318 -4.070270433180432 -1267.5686437358527 270.47804178010455 -2694.5991840499 264.15122368519684 1392.1936147072884 169.88600330567238 -895.6836823514734 190.95277429723023 -1411.4688909179383 152.5599943934911 -1215.1468711383711 193.29126274178986 -1096.6063565921195 245.1319612805231 -863.0725087988858 261.8316486721971 -786.4998056824307 195.03586020117257 -1396.4070439389257 130.967295685022 -1000.0265082001342 161.12270691063614 night11B_o8.fits
2460320.676643619 -1225.6188611802988 271.11249462905 -4.407015944576232 -2028.1637024232868 227.06412877016447 -2201.093336302698 258.20881215731566 1180.077271041509 132.1017841828425 -1864.7543662463565 171.07873766652415 -1486.0381434832761 127.78069474670376 -1217.685268037575 171.30315793579777 -1180.8388178014136 293.47427935130935 -841.54504003128 298.8349365583885 -1079.5913587861405 164.54258483138528 -1438.7828485285147 128.26566739348274 -1323.3918623842544 130.5165340940893 night12A_o8.fits
2460320.676643619 -1189.9800945179718 275.1088565817447 -4.407015944576232 -1827.9069196055968 251.8234226252331 -2324.4053530528718 231.25770482728393 1180.0897673992722 130.4746968105576 -1298.5993670488615 144.00615505425048 -1961.071600640357 128.56162188902752 -1266.505287923574 165.63296307058673 -977.7494461732576 245.8734531742531 -659.8380462510247 277.0446751859994 -1205.7135755284953 159.42084562952337 -1436.8967400039319 117.12964554400743 -1311.1844708689894 134.3721867158224 night12B_o8.fits
2460370.53298493 -1073.6231893463225 322.9417944373738 -14.103287557560956 -1648.2745158384118 276.88218668888464 -2738.8257273077043 379.34772684288276 1481.583290578181 217.11244509000818 -1119.0013214799808 224.8466738947227 -1993.8795068767524 216.52143055762937 -1184.8891692061786 192.4271326779362 -1316.5011895842822 470.21723975250364 -215.77551987378203 332.93631682752533 -768.7987984693294 222.43372638672966 -954.998601549594 187.87393750102677 -1350.4940232017102 223.47799134619132 night13A_o8.fits
2460370.53298493 -1047.514252994555 299.3494125147235 -14.103287557560956 -2377.2771276019907 219.28521451240522 -2260.4070624918363 272.6453296928386 1070.4963274174709 141.5088245742789 -569.6189023780439 169.96682910244309 -1634.9123091102679 133.94613629949163 -1020.6359046417147 148.17289150656126 -1086.4247312170853 253.90592864381694 81.18086125064465 259.14861664014506 -907.2823632194885 194.4212151104397 -1383.3488045893173 147.13956121772154 -1434.4267663584735 158.3963629797727 night13B_o8.fits
2460388.623495185 -1139.5067729552106 243.49290795648434 -15.51355872059896 -1796.999120098506 156.9940883857839 -1960.3732601239967 235.5810463805311 930.8337254509154 125.99690876928219 -1418.9998835793824 162.1277440104508 -1172.2340285292767 126.10237777989269 -1682.7063922135733 138.6881678633566 -1522.8412428459606 205.0707220375186 -431.1974440597265 199.99509052593984 -897.8182029066984 159.69190438928922 -1259.080198066495 140.3281516054756 -1323.1584555346183 146.7160684286511 night14A_o8.fits
2460388.623495185 -1187.8371037255945 269.65577044271134 -15.51355872059896 -2128.47208295722 155.19840049103402 -2282.965853315475 224.4074152686123 924.722321487098 116.06357824775573 -1187.2094754511622 158.34867496914964 -1669.3704679433583 122.87780764041631 -1277.340134954125 133.5326545710931 -1551.8447489824287 207.0789569859231 -194.6478711549856 188.77814507722445 -1042.097955261079 150.40193904824042 -1202.1215455691158 137.887371132799 -1454.8603268796865 149.08726708703134 night14B_o8.fits
2460600.7553277197 -1649.8959700784558 287.34887188194176 14.486472619979034 -2380.7747226332926 333.8845810529144 -2351.198587090782 275.5198897896802 988.7852948483865 158.40109495275323 -1409.6055403844075 186.8949396158613 -2174.2230464936424 149.32148561520168 -1824.388723680763 166.9467422269241 -1812.5212735417356 255.7405503521326 -1332.4366131710208 250.1256279568621 -1481.4512437263347 168.27845246559943 -2212.8022118366403 125.42101533311507 -2158.2390031527775 130.7808190578079 night15A_o8.fits
2460600.7553277197 -1692.5236208104586 305.2219271726433 14.486472619979034 -2756.2082131549055 315.7451054679267 -2582.219140925777 229.00402822057043 676.2383196934632 120.99221601616989 -1290.4322385699677 141.873982483954 -1948.909400654002 119.62340857035039 -2083.606116826216 131.2163128142134 -1622.0942616923742 194.77520926996684 -1325.4825168850675 215.9347360351224 -1726.193956823274 144.86441938710803 -2266.3286822664672 112.61096453946709 3789.141050844625 inf night15B_o8.fits
2460604.817957461 -2946.784982400007 8222.40308517969 13.94848309277447 -6031.304266246514 2497.930171328629 2469.325262082716 683.7992760030083 3324.451821766734 134718.05404777138 28578.103000154308 46675.150118287034 -4075.07062901119 inf 16177.826928473514 56596.77041047741 -3399.7215913251293 3597.064926446957 -2233.2913466235345 2850.0500486579463 -70576.59680461108 15565.070647808769 5556.78466713959 60187.8608693974 -3333.427494810681 965.5998887209383 night16A_o8.fits
