BJD RV e_RV BERV rv4 e_rv4 rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv17 e_rv17 rv18 e_rv18 rv19 e_rv19 filename
2460696.6456115656 -949.7156319862398 301.09605859512675 -7.0825513861967835 -1540.8241065935508 202.31277212909956 -2196.392649536053 211.1588965169574 1437.0110540007847 105.35958191126807 -726.0817837958942 139.0202932253023 -1336.9670469679675 104.7284900014493 -1120.9787224561694 151.18427962896791 -1156.3579146150146 220.136921546451 256.44909234773195 196.59276325979897 -1122.7354117859581 155.28775340607353 -1662.6523890793767 119.40407279225985 -1277.3420733671715 122.65527414367688 ADP.2025-05-25T09-47-12.250.fits
2460312.5616805987 -1214.110068620208 316.69725357499664 -1.9746036283822095 -2490.409651370362 218.57564525193555 -1676.1219239601403 231.45546502562934 1311.3939261143564 134.8209093085248 -904.1600583206543 161.34685257758989 -1469.5055322645626 131.1819206113176 -1371.3257211796017 156.345753997199 -1629.3920414752672 217.98529020070907 -920.2402620881205 246.87623476723886 -1177.2402260158244 141.99196329218088 -1814.0991956419032 105.23714152746378 -1264.8168773919049 inf ADP.2025-05-26T11-11-51.393.fits
2460318.7712704595 -1083.7650719268006 251.46868837112785 -4.076756113937941 -1627.259640732078 176.41015080463933 -2397.3319717517984 186.67035660643523 986.8808946900443 115.75740706892753 -913.8543106629683 128.02899162225367 -1487.9301235532357 113.2741427976212 -1365.3595771966325 124.01165038081757 -1109.221452264145 185.83231323756718 -580.9667656127682 197.4533332496968 -1004.27347098819 138.07862197917 -1415.8736641279183 104.26582388296454 -1006.2257089951165 119.11688653166394 ADP.2025-05-26T11-38-41.197.fits
2460320.6801158413 -1210.4075548020712 256.57980399404715 -4.41528743508785 -1831.9463304330823 161.91150188364284 -2246.249255487421 172.92482280268266 1035.9807546605196 90.98883229542352 -1526.2601161124717 112.07209102283224 -1731.6003668280355 95.39560041260152 -1147.4259284322054 117.63310240633831 -1155.9553040876347 175.8045034755872 -734.9732372244628 193.84138993544892 -1083.9617010412219 124.91117225632685 -1494.5173780341793 92.15646303106114 -1397.574239802589 101.86741327945003 ADP.2025-05-26T11-39-33.677.fits
2460328.5502090706 -1103.5629248544697 260.7137486649102 -6.187694692262729 -1485.6210849299139 158.01392257408972 -2483.0236451379956 178.0212466832872 995.4050005291347 99.03619270553426 -1023.6758674326327 115.80498057859447 -1552.1895980619217 95.25685105843469 -1478.9408270103554 118.93894150612712 -1034.333396474737 192.72722531341742 -398.9517197078998 183.36606028805602 -957.9535128856555 103.28171016634593 -1459.540631322724 100.63204021329668 -1260.366890964466 94.93610147958559 ADP.2025-05-26T11-52-33.101.fits
2460339.6560602556 -980.7748369332149 238.8066169850374 -9.058472533943322 -1444.711663745231 194.90915486096694 -1831.1820330929404 340.9176693694447 916.9765202845816 169.07317618740242 -1089.3230543883624 170.65373100018905 -1483.2087694761403 200.7424197058181 -1131.90442576387 217.27152855267653 -992.7168778234534 342.4510518113794 -11.707472012619894 320.2424401789668 -980.5820021090491 230.8765029775645 -1689.3303798561165 200.7508184574664 -1050.8330482821636 195.8364580807738 ADP.2025-05-26T11-57-49.667.fits
2460647.8354338035 -1246.7206756652367 305.0014214614987 5.591534097134687 -2134.1483361841533 224.27906485634622 -1984.7228844194472 142.43011344339828 1472.0146097941015 87.3399170586618 -1034.6481359204013 92.52363923225288 -1731.4198646943316 74.83716085840814 -1520.313235996795 99.69593164528979 -1346.0506234196491 132.15720807575752 -647.1058884138548 149.93668370943539 -1073.4803351161227 109.56870918368455 -1927.8258545119786 78.14469949706479 -1786.2268834349716 82.90605503366656 ADP.2025-05-26T12-01-48.920.fits
2460666.7973373244 -974.751964158111 283.00140947852367 0.594891900413732 -1441.3293454850777 248.9963647304613 -1664.244837237917 162.87417363216093 1563.7450299365469 87.13717345943637 -678.564219404693 102.57874882122567 -1660.6838397512222 84.79842099920614 -1070.873220186736 108.24225549392783 -934.6108337524316 181.96696101307623 -502.66919890116213 181.05475261147538 -1099.7186674169827 127.87626179670727 -1760.1215509977042 77.00761310306379 -1473.200922541842 95.99435327104077 ADP.2025-05-26T12-57-59.383.fits
2460674.742469253 -1010.0547007294982 247.70349188415594 -1.4985627390421479 -1705.5759303705909 308.2411338015025 -1951.0416820991345 146.61666506302348 1034.0680768389489 88.8416172956584 -749.8775503357624 93.97575181148008 -1398.3919322533322 80.26689670971375 -1087.7077303117476 108.04904804038101 -1242.3159808194641 162.1566566499026 -268.0267097694443 169.70360928653028 -919.0432006749863 134.52898851043378 -1556.6012634596245 71.25905236666961 -1266.0878047693423 94.94324413110854 ADP.2025-05-26T13-01-55.721.fits
2460624.8335913285 -1663.705134299441 282.67364527699516 10.805474841689756 -2752.944118911548 276.32667852870406 -2153.3833477350163 162.82826648066316 783.5848080938185 88.49351233048621 -1281.4267985772915 109.5180150791051 -2057.4298982221853 84.22148811967425 -1741.2081235362762 96.47700748663515 -1900.427691959468 181.9672153289951 -1196.875911945176 182.2358047534814 -1452.6664904282643 118.08173424133668 -2315.62815382187 75.67570126682584 -2232.350750250573 81.91544949697803 ADP.2025-05-26T13-07-19.921.fits
2460600.758799942 -1730.8866374099898 281.69906777894624 14.480797390115638 -2591.3987596773145 217.517041600395 -2470.872116541637 179.42051587076037 783.9853826575071 99.01934665383864 -1245.1511590215607 118.65037791856513 -2138.815941910415 99.46539983144568 -2003.2916048457955 109.25963668931058 -1936.0600745568083 164.05496714060058 -1388.2198274122936 161.09038766356957 -1624.9756708053167 113.77518943748957 -2263.456281247803 90.61782480339458 -2161.496958148452 95.76804277988059 ADP.2025-05-26T18-53-24.077.fits
2460604.821429683 -5218.779826113908 2521.2018606924426 13.940965198959772 -6107.0420409680355 2408.7705138734 2349.461703587057 674.2716918074759 471.61126194625945 inf 3000.8535258355364 549.4932163050149 -4771.586974036325 410.8355387921253 -5844.264290038893 503.3047831788763 -1434.1449007888941 513.5610801641958 -19171.872434317633 626.2174104028679 -9771.643198184076 2308.0942505049406 -4174.106510192818 inf 1343.5161214239936 inf ADP.2025-05-26T18-55-27.903.fits
2460280.813205721 -1672.5350409735356 314.4604172935569 6.081764322017715 -2963.4190158887063 345.63387791605004 -2715.97536382135 134.07168748308746 908.3707647548283 77.09953327923822 -1376.6315632705387 90.45905836487654 -1953.0283978469577 74.8322477187326 -1908.0068371095795 89.03615888394617 -1750.1389053450366 147.82915132341483 -928.6882539290808 155.35153338428196 -1316.2976222615287 159.4551178356228 -2236.063843331073 75.11399096856695 -2158.0064126598672 94.22027874213623 ADP.2025-06-02T10-25-23.597.fits
2460285.8067494896 -1676.844798833567 334.99838929267827 4.817580341479841 -3022.7762548327396 422.3908850697291 -2500.2221653473853 137.10551924564723 1257.3902841339748 74.46545986137559 -1239.3625507866857 97.04451166421283 -2226.4464030584923 72.15061848337892 -1902.7741034161747 92.99454812216813 -1938.9835462112515 163.6428558176348 -1191.2453535638226 160.75090242327593 -1480.9797003281594 178.84632839318581 -2100.461762424781 80.12052224171018 -2099.4312313337223 104.83214699063359 ADP.2025-06-02T10-30-12.184.fits
2460300.7913322095 -1186.9651079926223 294.77800563703937 0.7988514519221037 -1972.4929031441563 382.6608048597481 -2486.5019391897304 165.845907421466 1238.5519511441933 99.19502862902348 -750.120025723978 117.58540070148987 -1643.8530461345729 95.89523907432026 -1573.163429069998 118.09195895351942 -1102.613570589084 156.96645510217746 -639.5203793551278 213.03889915943353 -860.860462323917 154.5353032739962 -1702.1172136544924 91.07987463084764 -1563.9251698779817 112.45049079656773 ADP.2025-06-02T10-54-35.167.fits
2460230.868964207 -1391.9146469914238 312.793376598471 14.681084475255602 -2862.274398639763 368.89670247621336 -2087.1870134280657 197.67819838777814 1196.4634784953773 125.51855077767412 -803.123215992667 144.20904501921098 -1815.1838459783137 105.61133600981687 -1551.3243226926365 137.28976796418124 -1589.2370045069413 199.38656183609518 -730.2804475808271 183.4945675052303 -1404.6855334646643 151.9537313113438 -1803.3956147882927 84.2010078004557 -1860.8331983288654 103.32783667972538 ADP.2025-06-02T12-44-40.787.fits
2460370.536457152 -1057.5365680368263 329.1117551490759 -14.111075244340437 -1941.3272374200392 160.38276275829622 -3050.086158205701 211.53227800479686 1310.9281135419376 119.83257468547563 -906.1657033742689 139.93619522796985 -1648.6620006825158 123.59920953824688 -1172.5314578310438 129.63198876145367 -1032.7050478534911 244.80331824189625 -21.304785203043632 198.27391570899036 -836.263984725784 149.86460792679605 -1065.95652277113 131.03479022465592 -1268.8274638800108 143.6986670311106 ADP.2025-11-25T12-35-27.047.fits
2460388.6269674073 -1202.328944009905 247.55014246721095 -15.517500694458294 -2017.3097350062371 104.42565448330724 -2176.632410806523 156.78881276634544 847.2739231817013 84.86017693995149 -1338.2002118635287 119.21655536059104 -1434.4181789637432 93.96663227210452 -1467.9860920850517 101.04199141268809 -1533.0145325120743 144.32250420106976 -412.94397848528763 144.16148784569842 -1053.887252966713 111.57421867203699 -1289.0217726545995 96.09989171996673 -1349.4781419468977 108.7004647663018 ADP.2025-11-25T12-42-27.268.fits
