BJD RV e_RV BERV rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv11 e_rv11 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv15 e_rv15 rv16 e_rv16 filename
2460696.6456115656 -944.6165751439048 915.9781561800997 -7.0825513861967835 -4950.068265500391 619.370314511719 4642.702843150782 71.14232450203355 -3011.7411590580814 377.414360890138 -4722.664025962403 755.2686011745487 -1748.6979734597774 1464.3602719319122 225.0259766540347 679.0071335318594 1282.6913268631588 631.9497546077862 -1134.855740667462 561.8048118457093 678.6324800340971 416.28661065515837 -707.1912134930063 291.05555010374195 ADP.2025-05-25T09-47-12.250.fits
2460312.5616805987 332.7641792223768 1196.5574510037216 -1.9746036283822095 -2156.410990423414 893.9681960608846 9626.458765712116 101.13220901769016 -1612.4403306551617 554.7090744415052 -1357.2570419237584 557.0429662156569 4455.550654071015 1553.5000106113384 -1192.3954362000734 697.0854544504155 -409.38584184709373 651.4069999902749 -2282.9692941279236 517.4532974772737 -747.9128523204901 445.84682121073604 -995.5958400614477 266.65230048611073 ADP.2025-05-26T11-11-51.393.fits
2460318.7712704595 -438.8000305904519 779.4311372502667 -4.076756113937941 -3199.3179201417743 558.555896646586 5560.407177499713 52.715328776658474 -1484.518586073078 259.31877804520167 -2910.63873382647 366.4876800373772 707.5115320238591 1423.929936261635 -978.8106618255958 478.1752708801553 458.611524605696 455.9918696649608 -1503.2354211643074 535.1739459150193 -128.60523031896724 322.9701608830965 -909.4039866835943 228.95321156808455 ADP.2025-05-26T11-38-41.197.fits
2460320.6801158413 -391.55600653999034 847.4874392163497 -4.41528743508785 -3780.1106435295005 702.7829856976555 5073.060608309956 81.64932334813666 -1042.037194687311 335.80143073214197 -3360.7414640146612 647.6388627458629 2587.2593191478004 1012.7541839665579 -879.992405105269 609.9847142575292 1093.2675409725 562.6406246953998 -1855.8403516745384 840.3362486928581 -621.2118543364447 343.40097138162065 -1129.2136204824333 249.9685875585904 ADP.2025-05-26T11-39-33.677.fits
2460328.5502090706 -1132.192942227132 838.6373673984955 -6.187694692262729 -4550.651379713766 532.1564874152052 3300.600344012637 63.323281206865225 -2911.217665899767 289.70741880917103 -4432.717190667009 502.0630893639979 1493.7141650105864 1313.3642119577112 -747.3022636996125 545.7957595277995 1074.6027884803952 560.6909676801681 -3430.220100760599 549.1150937076238 -395.70204923131746 221.84545759080294 -723.0360698028716 203.4200556322207 ADP.2025-05-26T11-52-33.101.fits
2460339.6560602556 -272.731819065874 1047.955436975088 -9.058472533943322 -4452.799953275123 651.3355014091615 3960.5067032279844 46.34110181552696 -4406.305382026437 408.2176516566397 -3877.8946199235747 594.5244412467815 3398.8897028199112 2210.6020603241222 -646.721756455167 833.4355401523269 105.54020558073599 923.1072344417195 4134.427176593416 1273.03953724096 -252.12699435361796 635.0668040771689 -690.8332728468689 503.8175629937542 ADP.2025-05-26T11-57-49.667.fits
2460647.8354338035 -797.6180503066718 705.4884127532765 5.591534097134687 971.2132481815107 412.133404965695 -3918.8765205675254 347.39678505231524 3448.2936141833598 469.58988047092043 801.9360802838722 464.0332373459475 -592.5747170111563 1003.4798811231651 -1638.0594391018071 390.6693279685077 -2761.5614592806232 385.61796467002415 484.4370035580248 355.20202249347227 -2535.608676343042 447.6517166087698 -2235.379636969331 257.26628178367446 ADP.2025-05-26T12-01-48.920.fits
2460666.7973373244 -985.395667445557 325.99044840900035 0.594891900413732 -851.3270470474826 535.6380243682618 1247.5687309572777 509.55393023736485 52.408030006458276 504.53823319529823 -635.5490052024478 364.0304027337925 -1912.3738321413791 1128.765963710425 -1216.8419662814379 435.77818714064625 -1743.0846477951047 398.81381946729493 -1008.4955450291144 483.51770249896356 -1557.4984169192505 656.4201525972527 -2228.7629750030906 376.4574726684671 ADP.2025-05-26T12-57-59.383.fits
2460674.742469253 -668.6078408673062 1139.8925011847018 -1.4985627390421479 -785.8907088223572 14.710071171212327 993.9783435146473 inf 2999.226914818537 11.178320907726665 -1243.466018084873 12.193593746385064 -186.3667836563525 15.229266781881153 -6656.661625288536 inf -7426.893100567608 inf -2341.9185734126527 inf -4956.396311564378 inf -4126.542608591485 14.136321902518837 ADP.2025-05-26T13-01-55.721.fits
2460624.8335913285 -986.2511043892664 745.8664921293213 10.805474841689756 -3154.387104075745 158.59506793168578 737.821087429326 72.38947077167107 -2995.483761170358 156.30436211473997 -1351.7796218204332 168.24899874290367 2356.31344835662 1078.1879094866333 -2526.8488798860762 289.41687891699286 -2649.0104785216777 391.70178861689635 3477.6932955316083 375.244994542714 -1434.0105171001128 400.8368804235207 -2322.8185126358144 261.62508768935623 ADP.2025-05-26T13-07-19.921.fits
