BJD RV e_RV BERV rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv11 e_rv11 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv15 e_rv15 rv16 e_rv16 filename
2460584.875489143 0.0 0.0 20.957948145175404 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-05-27T06-28-34.866.fits
2460584.8908521803 0.0 0.0 20.920784675788088 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-05-27T06-28-34.869.fits
2460359.619668748 0.0 0.0 -17.65287763592288 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-06-02T10-15-54.683.fits
2460359.641852384 0.0 0.0 -17.70388502507483 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 nan nan 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-06-02T10-15-54.686.fits
2460359.664042039 0.0 0.0 -17.750393225453664 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-06-02T10-15-54.689.fits
2460370.5901542692 0.0 0.0 -19.56313601493147 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-11-25T12-35-27.056.fits
2460370.6123958896 0.0 0.0 -19.612831844655688 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 nan nan 0.0 0.0 0.0 0.0 ADP.2025-11-25T12-35-27.059.fits
2460370.6346235494 0.0 0.0 -19.657943451109265 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-11-25T12-35-27.062.fits
2460388.5543983965 0.0 0.0 -21.16233593449564 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-11-25T12-42-27.259.fits
2460388.576728088 0.0 0.0 -21.207017612095 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 nan nan 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-11-25T12-42-27.262.fits
2460388.5990925054 0.0 0.0 -21.2466483208945 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-11-25T12-42-27.265.fits
2460389.5412027743 0.0 0.0 -21.166181367100897 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-11-25T12-46-41.190.fits
2460389.563621191 0.0 0.0 -21.213003127444374 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-11-25T12-46-41.193.fits
2460389.5860411385 0.0 0.0 -21.25507471969908 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-11-25T12-46-41.196.fits
2460407.5280451253 0.0 0.0 -20.68728132714334 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-11-25T12-56-19.609.fits
2460407.543523071 0.0 0.0 -20.712979907918328 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 ADP.2025-11-25T12-56-19.612.fits
