BJD RV e_RV BERV rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv11 e_rv11 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv15 e_rv15 rv16 e_rv16 filename
2460584.875489143 -13623.00987536069 3130.805303257814 20.957249976171763 -11953.278327974756 287.73775979918815 -1818.0966686018357 201.20359947365154 -19710.891969729226 207.5064652650415 -19925.707940954173 201.15310735198383 -17496.98156918262 inf -19982.620964744296 446.4969067218214 -17833.728501516824 175.7194353056809 5838.647184320419 4878.36234305794 -18860.10531305896 482.11167677703713 -18361.306375986558 486.93749624619994 ADP.2025-05-27T06-28-34.866.fits
2460584.8908521803 -15609.826209372774 2470.665837186876 20.920087285555265 -12753.133788422307 313.20908825249876 -1877.675715366532 203.42078669405967 -19460.3992661201 244.02206042323277 -20073.427167206766 198.49414304939958 -17271.882990231425 189.8258991566026 -18550.811108155794 355.2813061850654 -16986.868455367658 inf 1272.9321992817054 inf -16596.084801423294 inf -19281.453430106518 561.206766217214 ADP.2025-05-27T06-28-34.869.fits
2460359.619668748 -11490.335913301564 3511.0549836047853 -17.652019269288633 -18278.366309009114 182.51855633801614 -383.51763559544634 120.83063424289988 -18353.751285862967 221.54813949720676 -19266.48690622501 153.96867788066413 5567.680179814706 1493.8969441354257 -18415.31621655234 244.19928309893447 -18175.388376780247 inf 2026.4761805530663 202.3667505039958 -18377.611885183484 209.4565864171023 -17932.129341653475 891.2403513136888 ADP.2025-06-02T10-15-54.683.fits
2460359.641852384 -10800.332816751046 4235.205387838096 -17.703026351598627 -18313.161819589553 263.515333683189 -1160.7652488171377 108.12143674226928 -18166.214785375283 224.03976180620873 -19052.761220668912 158.3481180351566 19933.682627934748 564.3294267007753 -18628.436298636454 247.66336303778974 -18363.822696953517 157.7679225261404 2170.698798811128 155.59386152306857 -17360.648851483962 150.16501992684627 -19061.89867273153 163.27240597461167 ADP.2025-06-02T10-15-54.686.fits
2460359.664042039 -9863.481780036562 4497.242494709968 -17.749534392448933 -17860.163739498224 239.8318982750597 -1226.5319845564543 104.55033520173657 -18495.225046022926 264.51237329766235 -19147.684445017047 183.24745210142882 13362.080739350891 2439.9553306180405 -19008.675380390563 685.5736150123399 -18342.999186358822 inf 1863.2667306041824 148.73201831007853 -16062.654712795229 inf -18394.921114762354 154.93239683623847 ADP.2025-06-02T10-15-54.689.fits
2460370.5901542692 -12066.578353740388 3489.508527425283 -19.562277148276966 -19009.193383227015 264.30055162966363 -2080.321481408406 113.55149667036825 -18351.736785787692 214.2405476475333 -19568.095472496054 234.5778916095761 423.31358232581096 1802.037650543896 -21895.238774453992 1271.625772780028 -16770.234758513878 176.2536960072161 718.8802436381121 163.65020269550243 -17302.240809995663 inf -17973.126570892 inf ADP.2025-11-25T12-35-27.056.fits
2460370.6123958896 -14144.955684406437 2931.745770972717 -19.61197273419846 -18819.067391512606 213.6767048887342 -2291.638226375223 99.20422666006881 -18589.768158108538 196.36189363626227 -19139.085164386932 177.00492675493012 -3344.4457012379676 1410.1323775544392 -19058.00526791515 118.85167666795593 -17772.679881308653 159.60395881990146 nan nan -19190.975382203764 inf -18097.84271717396 inf ADP.2025-11-25T12-35-27.059.fits
2460370.6346235494 -7448.121207492363 8291.865881012978 -19.657084245028113 -19066.601980229454 236.2268246432994 -2250.201668577334 106.82156077314052 -18333.451896361614 237.38628007913263 -19387.333065406423 207.50893179585745 31791.198130003042 2493.2277394638895 -19869.411506592147 inf -18480.273844551975 inf -736.8030112649266 inf -17895.206854059274 inf -17442.336764382402 349.1059255251337 ADP.2025-11-25T12-35-27.062.fits
2460388.5543983965 -17443.116126292432 1917.8368775303925 -21.16154224681147 -21325.23655528424 282.05363313089464 -3223.179637345405 131.15434265007238 -17978.4124207781 202.21222868280407 -19828.45268133925 145.02821606683293 -23511.789634926285 987.2399990396232 -19057.84954132537 243.27261935791478 -17027.1791325564 160.32189961625144 1244.5379551883 inf -18505.109698313423 193.40182044229357 -16530.83583476341 146.85492142835764 ADP.2025-11-25T12-42-27.259.fits
2460388.576728088 -12580.334691839747 3364.777574248244 -21.206223870824157 -20921.312414389606 330.3125146435884 -3893.9832753930045 124.19002084972941 -18298.572921911622 217.24346764774688 -20001.38435199474 172.48222567952052 83.66909144571602 1003.6135328328472 -20202.7834142134 162.2184034734315 -16879.27128308136 inf 33.512920325534466 133.145689420988 -17441.823168586863 167.66344020335887 -16724.142836385945 inf ADP.2025-11-25T12-42-27.262.fits
2460388.5990925054 -16469.699226372577 2282.689417080548 -21.24585467761072 -21170.32237264177 252.16905788573735 -4649.781617465077 152.71978376373352 -17931.5355398675 213.78829270562977 -20111.672663188445 182.84387466981457 -24512.30404689928 382.36224487150577 -20629.076662882697 141.31924194730547 -17826.605366248627 167.45478623892677 -2186.2915105311254 2070.6081410360566 -18121.20374337382 132.74953905340286 -17558.198740627406 120.04791893873697 ADP.2025-11-25T12-42-27.265.fits
2460389.5412027743 -12261.196933731617 3571.1574702896432 -21.165393712444217 -19200.524981507606 247.72529168181222 -3187.715885371018 109.4630572478242 -19983.45050135369 186.67480449511592 -19910.18460105303 134.75265725469475 7514.5826504536535 1934.1720962982677 -19631.059238102353 653.726803619448 -18046.782630349637 inf 225.27944328992666 169.9816154954617 -17656.47764465837 146.63659360248292 -18521.221645282058 563.8647759106658 ADP.2025-11-25T12-46-41.190.fits
2460389.563621191 -16489.781805689876 2965.1385581419695 -21.212215354131484 -13374.892672465674 232.5154528372424 -3900.4041042393187 105.64717568092193 -19776.28141238799 196.2715977468267 -20016.932722871083 129.9046021061158 -33793.18340419204 799.9527919958605 -19662.027743902006 598.989878923007 -17853.70793433709 169.1177512102345 276.8878297710556 98.17480894254237 -18630.52356262863 145.2566068257012 -18166.752329645995 433.7163912496154 ADP.2025-11-25T12-46-41.193.fits
2460389.5860411385 -17069.24761933103 3290.076373578915 -21.25428697870462 -19524.632677264428 273.1000171841305 -3519.7006184260326 103.09445416903067 -20055.131401021972 197.9691780695254 -20098.01696941708 119.78066825090684 -33865.68803183826 638.7993250675589 -20037.599436465516 552.8520593418834 -17721.003476394497 161.14755153993414 -381.45411632499355 174.7003565465176 -18420.00184682647 144.8675673466435 -18125.016791847 inf ADP.2025-11-25T12-46-41.196.fits
