BJD RV e_RV BERV rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv11 e_rv11 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv15 e_rv15 rv16 e_rv16 filename
2460584.875489143 -14734.502279522005 2446.572265478124 20.957249976171763 -4070.3183768151393 251.02611806229606 143.457963126716 198.87297145552145 -18895.797735844564 173.08378914463512 -19075.0038718077 223.0451152496765 -17304.226457831806 147.2141899920895 -18915.2133563527 456.131606065873 -17749.7636442263 186.95684850738803 nan nan -18598.531770580892 561.7708258670511 -18145.123265365655 517.605354715588 ADP.2025-05-27T06-28-34.866.fits
2460584.8908521803 -12352.337467618618 2886.776874701426 20.920087285555265 -5264.732030491578 247.0877094997204 -53.0479987650565 193.35733105401147 -17969.57611741222 198.20932315016364 -19086.5353452934 219.40538564165115 -17233.152996308 190.65311362815254 -17820.0215212547 394.5897257580886 -16680.569348871293 inf 1951.247229526114 341.8413526420449 -16644.55865182913 174.93651805818394 -19050.659776739583 610.7203058373026 ADP.2025-05-27T06-28-34.869.fits
2460359.619668748 -11529.289791672865 3401.8335000511147 -17.652019269288633 -18599.594233683518 222.59251239728488 -579.8560379709492 184.33755963250007 -18198.809460533805 216.76607753171137 -18987.664733367677 187.31087740734094 4335.192722790218 1771.5313707140251 -18281.45668115397 336.7392717987594 -18100.222228951 266.61389137252877 2149.781259136434 308.77127285441105 -18328.202837446326 inf -17500.97873132152 1189.7235272281964 ADP.2025-06-02T10-15-54.683.fits
2460359.641852384 -10202.01830008746 4614.102036449213 -17.703026351598627 -19170.93634355293 167.20897496454864 -788.5775442370804 182.46389207911122 -18275.24488306227 222.5602618887703 -18888.720290521534 179.99097908566085 19014.235523329753 616.8879102561838 -18215.58246172942 inf -18574.44323936378 160.71468782200898 2213.530604284947 229.94823268956657 -17724.41567941707 615.1147060835233 -19623.592848247197 956.7056925733698 ADP.2025-06-02T10-15-54.686.fits
2460359.664042039 -9799.485387082836 4147.986180442938 -17.749534392448933 -18160.82474981598 266.7407305362167 -1268.1077305356096 169.60919129887284 -18591.984588129442 252.74500650592145 -18940.25259697706 220.20016442797845 10617.56346030448 2633.980253361112 -18077.95068645017 345.21975146577716 -18513.131786701055 inf 1922.3529089895515 208.24776500280453 -15896.679114048455 187.37474614074208 -18796.993849792256 inf ADP.2025-06-02T10-15-54.689.fits
2460370.5901542692 -10952.734966152999 3172.3161443509816 -19.562277148276966 -19008.297688738792 300.4221337072726 -2167.982107661133 177.38230766388617 -5953.146640442846 193.38330759075413 -19752.864358359406 305.98309551969277 6901.455539765221 1874.2436951257105 -21426.76126740399 1529.5252736996076 -13562.271489103081 205.92659341400739 727.3456256839208 231.7574681172565 -17587.50492818461 233.42594533043547 -17697.32234708529 410.6911617708358 ADP.2025-11-25T12-35-27.056.fits
2460370.6123958896 -11568.821634538444 3522.511236199776 -19.61197273419846 -19232.208818567142 210.91965371495485 -2724.032990197041 163.26387539677515 -18738.201584784252 212.48152064433452 -19075.88978311018 201.67892032121932 1886.2029034253142 1737.0239829615227 -18578.205262082796 269.4697331929703 -18742.05730904402 inf 1833.1963465803094 792.1593005809657 -19588.577483523564 inf -17921.43388757176 377.14086346696814 ADP.2025-11-25T12-35-27.059.fits
2460370.6346235494 -10134.575159810895 3706.398331156914 -19.657084245028113 -19257.532719757095 263.0337278154708 -2299.5299068610107 168.47313367580443 -6653.813770089302 196.24278000233053 -19235.330044072398 266.4693038494337 14291.710203231907 2142.8790671396087 -17806.033832317637 732.4353370721183 -18057.450056492005 256.68635333847 2819.605745281106 1449.233053042062 -17733.348872520834 315.88641389549457 -17414.02834451168 378.42002858111283 ADP.2025-11-25T12-35-27.062.fits
2460388.5543983965 -12610.61417004811 3283.3325501696277 -21.16154224681147 -21623.470783591 308.9735384114936 -3439.0854423216674 201.5350750754001 -19851.09955291375 204.21093979866546 -19821.501931933362 214.84220493164676 2532.643984410726 1288.8528938872498 -19550.944513856208 258.9207929120422 -16536.62571398242 307.99527023361617 1434.7442176691482 282.4202556386195 -18546.81650146974 inf -16640.18779391445 416.2876454440934 ADP.2025-11-25T12-42-27.259.fits
2460388.576728088 -15918.723330696908 2784.8120036624045 -21.206223870824157 -21220.50223712496 371.8559275114156 -3808.2314470017354 198.9220050684712 -20064.5418441577 212.7855247067772 -20107.44359407779 241.89198238632193 -24802.21805002578 751.4705584584302 -19968.028925204027 185.79753195843097 -16635.805118808355 177.36030554870763 -27.61306113888691 272.0806693361795 -17411.174986214668 inf -16634.125698732943 132.87215786399832 ADP.2025-11-25T12-42-27.262.fits
