BJD n order chunk rv e_rv norm0 e_norm0 norm1 e_norm1 norm2 e_norm2 wave0 e_wave0 wave1 e_wave1 wave2 e_wave2 ip0 e_ip0 atm0 e_atm0 atm1 e_atm1 atm2 e_atm2 atm3 e_atm3 bkg0 e_bkg0 prms
2460696.6456115656 1 7 0 -4583.800996106012 240.20412369261408 3758.935948056702 1577.9906079818675 0.13291025051195454 0.05841678391103464 0.0001933624262114584 8.428414979286696e-05 15671.271951101906 0.014797708841131407 0.049599141385494594 9.580863055839462e-06 -4.3667355281675536e-07 1.8921965765309032e-08 1.5369990378318992 0.1414022389536285 1.2233166146929824 1.3640699222472483 nan 0 nan 0 0.4412874056349335 0.2084711168211566 -0.1450191773214722 0.08956620293055856 10.401445972786176
2460696.6456115656 1 8 0 5822.273547333813 175.04874288979272 8913.129561826863 3588.7809242689696 -1.3243915959750048 0.4887778421723003 0.005065938245960819 0.002027036822452666 15777.260029184707 0.006875536200722708 0.04697844920818326 1.0461052400873305e-05 -5.739591775635298e-07 1.9680620544427278e-08 3.0269917005453744 0.1942512758365534 0.6721242331645501 1.6581729698718477 nan 0 nan 0 0.2712316007003152 0.11997106590848389 -0.2712418868553808 0.03455337693029391 16.875864272693022
2460696.6456115656 1 9 0 -4018.859289859555 138.8469779255423 6557.673684115564 4581.679936808931 0.3014396941706653 0.24162793213165312 -5.341583647841328e-05 5.2548120343887036e-05 16004.586171442137 0.005734640675422346 0.05336609999539898 8.755690067450754e-06 -6.824331700398655e-07 1.520604423480867e-08 1.0882142430436266 0.10298257565294688 0.20126291346451325 0.9852015624193039 nan 0 nan 0 0.21016297954715024 0.15946666068065732 -0.2217259425573192 0.09213331677601597 12.147557669978234
2460696.6456115656 1 10 0 -4073.3698722972617 140.23001802620038 5041.699155003974 3201.1761569115806 -0.036411203352303294 0.015580852933090333 -3.1852723293713835e-05 3.642997438537409e-05 16118.871512389962 0.006324099198734058 0.05075997398644915 8.105625888453434e-06 -6.027418087808938e-07 1.3711613684507734e-08 1.1458892555799027 0.10828338342762595 3.0085004225789564 2.471955512850972 10.156639333074505 9.497296532620629 nan 0 0.2836419560750447 0.1997898880367873 -0.17388856586768586 0.11273184556820182 13.541721620133048
2460696.6456115656 1 11 0 -3080.9466304852594 1260.8310751300764 3258.374900728565 1196.7575060175502 0.07336263835576953 0.03475019949716589 3.4744370223141374e-05 2.2840718112814372e-05 16227.599122814747 0.06895195266656985 0.04828954076698763 1.2866107480105494e-05 -6.253745219995578e-07 2.7329554188894472e-08 3.24612484970812 0.6278324783460549 0.12894009853235033 3.4389550280671193 -0.0014527857238467723 0.93240892133756 nan 0 1.5331988458470303 0.9528334390788935 -0.06064044561719316 0.10568891260838048 14.117377869139833
2460696.6456115656 1 12 0 -1317.404242776606 316.12200303402005 757.2665423187158 49.19895276384017 0.02203552412527563 0.0024989352099814713 2.4619332243841938e-05 4.615854990908067e-06 16475.127591306125 0.01676903537976569 0.05476485333329588 1.0753348676142182e-05 -5.868269259071424e-07 2.3240199080228402e-08 2.338590126423256 0.2475291541554895 9.381910141231733 4.802932519950849 3.45720550460252 0.6572001147548371 nan 0 2.2412954066852286 0.5527755759048211 0.9320450331881873 0.08242883786659036 13.678499265388952
2460696.6456115656 1 13 0 -360.97135224253446 419.476042069551 387.31942789097997 41.941761308307115 0.003746916424491369 0.0009115309442396077 -3.15018833433628e-08 1.709861648543214e-06 16592.792372280335 0.023049408970752132 0.05231111005568052 9.840592586008938e-06 -5.519611620443728e-07 2.1272880763474437e-08 2.5159044849276144 0.2825496446299183 -22.44426087673866 7.4297481948532 11.841463947499662 3.54716940546019 nan 0 29.692653072691915 11.987867966033766 2.160676480156658 0.2704364464195563 13.896805490634675
2460696.6456115656 1 14 0 -2159.8473259953594 343.4465611753587 579.1069703839 47.189705196174366 -0.0014486378611811349 0.0015807374913979959 9.103368372455841e-06 3.237401022509282e-06 16704.569701349774 0.019238503978581376 0.04959626236087562 9.469367664315643e-06 -3.724365402442107e-07 2.0438473293574545e-08 2.9945531879128007 0.41700130773126165 6.08614064355412 5.39325563499984 4.898674084764756 1.0212387217912902 nan 0 -0.016931528879891578 32.682504968662414 1.4211559673683754 0.14146504804861698 13.90125136301572
2460696.6456115656 1 15 0 143.81345641288505 370.6780861719778 957.1114481877795 117.87136501644562 0.012196627452436125 0.0027481082899025507 -2.4948423295233587e-06 4.806244037106574e-06 16973.81920255215 0.020466587779324 0.05642535589954048 1.3950567239179297e-05 -4.6325148583692637e-07 2.8585769859022078e-08 3.5849285161966105 0.5948674187990853 13.97945322200701 2.760692233868189 2.1019255916157986 0.6394134592683932 nan 0 nan 0 0.7652497286993026 0.13504247399335337 12.963792605621006
2460696.6456115656 1 16 0 -1241.1441404871712 244.89152840544472 1245.2872585195332 165.59426067693164 0.00787884289194947 0.0029636849999471826 -1.9047698508601335e-05 6.204557704018261e-06 17094.81591689678 0.013132145166307738 0.05384961916906437 8.588561236201686e-06 -6.5804534953484e-07 1.8108439046625475e-08 2.258249621208633 0.18240852086461035 7.669144844880296 1.4802574381706257 3.1589747703781215 0.583400120924218 nan 0 nan 0 0.4958063305897908 0.10908064505972151 13.772664596544459
