BJD RV e_RV BERV rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv11 e_rv11 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv15 e_rv15 rv16 e_rv16 filename
2460696.6456115656 -1487.025684650306 961.049004573546 -7.0825513861967835 -4583.800996106012 240.20412369261408 5822.273547333813 175.04874288979272 -4018.859289859555 138.8469779255423 -4073.3698722972617 140.23001802620038 -3080.9466304852594 1260.8310751300764 -1317.404242776606 316.12200303402005 -360.97135224253446 419.476042069551 -2159.8473259953594 343.4465611753587 143.81345641288505 370.6780861719778 -1241.1441404871712 244.89152840544472 ADP.2025-05-25T09-47-12.250.fits
2460312.5616805987 -518.0704873603255 689.4556856764437 -1.9746036283822095 -2001.054968311874 344.1009661996106 3592.3737574066154 339.9739026055601 -1390.3973616226078 232.95843503797397 -1652.185566448831 167.4237958424441 3596.4109433627673 1220.2108639266417 -1433.4793243659585 296.9268479952212 -1463.4464659946002 377.53291813651805 -1816.613307992355 314.62990370709156 -1147.6975679272596 342.0130697421702 -1464.6150117091508 206.0999833019298 ADP.2025-05-26T11-11-51.393.fits
2460318.7712704595 -1295.854808091807 442.3652098444056 -4.076756113937941 -3037.946836073711 241.857619931569 -63.583799793944934 155.82156270813462 -2471.854296452837 151.05783298385538 -2671.163475992615 134.4254562525423 1674.5428748683496 1375.138161529375 -1387.3760468119945 253.60322368970984 -934.2970258544269 422.3905066148354 -1969.7746030103856 271.78203237444234 -698.4398994543737 265.11728192390774 -1398.6549723421317 191.32245434067036 ADP.2025-05-26T11-38-41.197.fits
2460320.6801158413 -1021.0299869149776 741.1752956439303 -4.41528743508785 -3490.213140850358 221.6172686905631 3747.6808400805457 380.47371686725586 -3045.4695802703986 153.4880448004352 -2992.7123777522515 124.92809165187342 2314.8783623601726 758.2851165731689 -1453.926134009259 275.4155330025339 -681.4177564961254 377.33850746422615 -1884.5112778546309 341.2174224950294 -1039.9988537624943 248.430532926814 -1684.6099505949765 199.03051259824326 ADP.2025-05-26T11-39-33.677.fits
2460328.5502090706 -1739.7012723146613 603.8165216645565 -6.187694692262729 -4218.886859765772 200.7161071018213 1151.1923195990605 145.6233740284539 -3761.768253022737 142.23434378552142 -3910.5131709341954 133.7790256560342 587.5207612739802 1132.050373180232 -1757.11215375069 256.7239040813671 -716.4002213268527 423.7994420090349 -2968.59195959054 314.308795339547 -647.2318254063132 225.80221175172957 -1155.2213602225522 179.47632806631765 ADP.2025-05-26T11-52-33.101.fits
2460339.6560602556 -1886.1442154530494 801.103152782996 -9.058472533943322 -4953.594004589549 349.79756232298564 1698.809841361456 190.38672346327522 -5596.242970446023 177.27048032733074 -4755.0914692224 193.34362775034296 1266.0945287220927 1464.2778637666424 -1360.7622693219344 477.5541233523472 -912.2912842605159 717.0555674612713 -2465.5658033921372 573.4968833661173 -776.6392534063523 442.56931437611996 -1006.1594699751337 421.7012465870616 ADP.2025-05-26T11-57-49.667.fits
2460647.8354338035 -16.540633712043633 693.3201885750982 5.591534097134687 -1752.3945167147533 132.60780047468185 4598.172523567089 613.6703976177774 2500.490723461547 116.4960554538816 749.2898789731786 105.65305108571106 -801.7359539271555 895.8190803534735 -1596.528119994053 212.28365978384707 -1578.5477345101135 285.0759804434314 1022.5357453769021 212.24138153193266 -1510.2384814346206 343.07206309610535 -1796.4504019184576 221.46097370408754 ADP.2025-05-26T12-01-48.920.fits
2460666.7973373244 -1174.3062087127564 383.82998477132855 0.594891900413732 -1190.7041004031257 203.74036044588613 1058.619071339407 128.02682197527628 -439.931563440164 130.74013459739726 -1025.8079188969975 111.95810500901165 -3834.8634458648617 1008.3502737511958 -1278.7995880396325 225.815848164474 -1443.4657304422644 292.07359663541513 -603.3790415284132 231.25023310043775 -1388.6872833578375 416.59516710849397 -1596.0424864936742 253.77417612781167 ADP.2025-05-26T12-57-59.383.fits
2460674.742469253 -1359.9877796713158 286.0763842372815 -1.4985627390421479 -1993.2281741097472 209.2320200766096 932.140180388172 249.61676674882605 -1348.1010676958354 145.46958997907447 -1513.241669435804 116.80200578464506 -2431.39919248709 983.5564555140929 -1398.260642703429 252.19806273447804 -1781.1990807271516 348.32191718025115 -908.2297794068992 241.33790070936027 -1405.8016615093973 419.00861358150235 -1752.556709025977 313.91181019660667 ADP.2025-05-26T13-01-55.721.fits
2460624.8335913285 -644.8789295527722 804.4917367270295 10.805474841689756 -2527.996709979578 164.3912541191962 2061.4083366455525 127.34518887565757 -2584.1416915089003 130.86722195615909 -2083.3697674492346 118.94798177508702 4279.952696491863 1204.2650801831721 -2198.6739766368687 205.02532561015445 -2053.531543390622 334.7408390742068 2436.776909706319 267.1403927251144 -1501.8818074336268 376.4404488410645 -2277.3317419726263 230.90747942579566 ADP.2025-05-26T13-07-19.921.fits
