BJD RV e_RV BERV rv7 e_rv7 rv8 e_rv8 rv9 e_rv9 rv10 e_rv10 rv11 e_rv11 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv15 e_rv15 rv16 e_rv16 filename
2460696.6456115656 -3610.5991465764273 2212.873322278579 -7.0825513861967835 -1867.6781540957916 1342.0876324129367 -5242.411183746011 2623.9996911912854 10795.969262500977 3570.744525772105 5510.448905280986 1409.2355431924482 -7229.3807759733 1731.9904320110963 -3366.615044697235 532.4996413444501 -6936.886810757422 592.1062054993006 -5348.257696266065 486.1139472178005 -10341.406862080901 967.9404418836007 -12079.77310592951 490.52983431082 ADP.2025-05-25T09-47-12.250.fits
2460312.5616805987 -2787.103086591844 752.2863284016902 -1.9746036283822095 -1094.2425294483887 1218.5061932071903 -2439.3153608288726 2771.991680179157 -1719.2149323614408 2059.8075548499046 -1521.2520924391886 1293.582316898779 -7975.498990690549 2143.3858775688263 -5419.69308481017 629.6310328273973 -904.5633794647521 430.33511681588794 -2388.4731542576646 466.19141480681844 -337.2154243517747 1129.9160470865654 -4071.5619172656375 564.8183205695899 ADP.2025-05-26T11-11-51.393.fits
2460318.7712704595 -4050.4588509078267 1316.0049369827302 -4.076756113937941 -5772.170146620775 1452.5207700349335 3604.1782301028747 1916.6002545346194 -3010.284727236142 2388.270522733566 -8557.767057795936 1373.429601346524 372.504098260909 2034.1850225428816 -9092.751699815619 438.23866636095283 -5492.246754285273 548.0843161332115 -3177.186208748684 406.20165582981525 -1206.085182336738 976.6583243684264 -8172.779060602888 528.7673570788113 ADP.2025-05-26T11-38-41.197.fits
2460320.6801158413 -2783.4477187393322 1445.0430864803227 -4.41528743508785 4891.490356983633 1227.2734687671918 -3550.037129378069 2498.907223658487 597.8898621215253 2128.879507186326 1823.0244693405673 1144.5201426632134 -840.941329969071 1640.4400336114495 -5045.86325056655 486.2111077952655 -3759.602691551085 473.13372648991367 -3536.7754268967783 456.8812922662572 -10401.852126659353 772.4073495698206 -8011.809920818145 541.7621752238065 ADP.2025-05-26T11-39-33.677.fits
2460328.5502090706 -4946.153460287951 1754.3363953177907 -6.187694692262729 -265.6492047677554 1297.2111922896859 7772.042068730584 1848.0009209934676 -6456.421827887821 2940.5674992059376 -6603.149741253816 1412.5744233301327 -2955.5328816568053 2041.4956014838622 -4881.102092085404 429.03256343094046 -8282.685973326328 525.1621985526721 -6143.543339526639 436.3422973440013 -9659.813475232477 829.7506575812813 -11985.678135873046 517.5648177739541 ADP.2025-05-26T11-52-33.101.fits
2460339.6560602556 -4817.059765487893 2176.852431994445 -9.058472533943322 -1380.6353661232881 2247.9974972421865 3726.083769240051 2277.554245569175 -3621.6858519903913 6042.080148763383 -2373.935835218538 2044.3373188874343 4530.17295283079 2529.5812580249412 -3681.2155380521904 inf -10035.258167170734 977.1932317844414 -10039.627593711484 905.1788229324777 -11174.684040588192 1421.6787902325227 -12983.96775665925 711.2954826062606 ADP.2025-05-26T11-57-49.667.fits
2460647.8354338035 3958.0209357260683 1155.2611586989324 5.591534097134687 928.1967403339087 1253.5081857068024 nan nan -18530.678064149015 inf 9451.899620229617 1489.0830133938116 1320.227756272821 1885.932226459391 912.2335387526404 569.8394632927842 5839.1114583795825 444.5213997498668 3179.5350467446383 482.1484527324198 7542.016840915264 659.7564885357222 2490.946484180072 437.94435691351964 ADP.2025-05-26T12-01-48.920.fits
2460666.7973373244 -1202.7863594499206 1098.3010809660907 0.594891900413732 5153.807221371835 1295.9337583025845 144.17824329808565 1425.6192133293055 -8368.35749070217 1881.68986132421 761.5330274317598 1113.4509100136893 -854.523127496829 1620.7805394434997 -3773.368634539859 533.3625261099141 -251.9747912353487 332.85785773078635 -1130.8336599980848 427.55303270785305 -702.5683767511592 668.0576985608684 -3005.7560058774334 571.4193306452286 ADP.2025-05-26T12-57-59.383.fits
2460674.742469253 -3627.609694468556 2218.7413874991353 -1.4985627390421479 3272.5084314241294 1113.2699447608895 -20832.73960158014 7669.278382363164 5169.753794838523 2330.340364202241 -5066.592237758102 1103.8700563974753 -3707.5677998714586 1452.7613883226863 -2762.6799152076837 636.7951363174442 -1791.126860909766 327.75885455399555 -777.2492551226663 416.3564375580767 -3386.7386534386187 641.2012366145262 -6393.6648470597775 550.4093885635986 ADP.2025-05-26T13-01-55.721.fits
2460624.8335913285 2609.149074027637 1626.1101245623347 10.805474841689756 -6477.982418569675 1526.2624434929405 343.3764386020897 2033.0762065094516 2086.706073085333 3285.7697659609444 -4986.138986690109 2234.22655070394 2882.107574011156 1627.0508791908155 3111.6299802030608 517.0045344735789 9058.907237436566 591.7148530574905 6176.1945258207725 560.4046091220058 6984.457452921482 939.9857552041956 6912.2328634557 655.8764358012193 ADP.2025-05-26T13-07-19.921.fits
